str_no_string|BRAK LINII!
str_ms_t_waterpipe_remour_descr_fac3|Dziś w łaźni udało mi się podsłuchać o spadku cen soli!
str_ms_t_waterpipe_remour_descr_fac4|Od kiedy w mieście wybudowano podziemne ścieki, nikomu nie zdażyło się zachorować na dyzenterię.
str_ms_t_waterpipe_remour_descr_fac5|A wczoraj przy stawie była świetna zabawa. Dziewki na golasa do wody skakały...
str_ms_t_school_short_descr_fac1|Akademia
str_ms_t_school_short_descr_fac2|Akademia
str_ms_t_school_short_descr_fac3|Akademia
str_ms_t_school_short_descr_fac4|Akademia
str_ms_t_school_short_descr_fac5|Akademia
str_ms_t_school_long_descr_fac1|Tu przyjmują do nauki dzieci szlachty i bogatych mieszczan. Lecz jeśli pieniędzy nie poskąpisz, to i Twoich towarzyszy mogą czegoś nauczyć.
str_ms_t_school_long_descr_fac2|Młodzieńcy uczą się tutaj czytania, pisania i liczenia. Jeśli chcesz towarzyszy swych wiedzą napełnić - nie żałuj talarów.
str_ms_t_school_long_descr_fac3|Mądrość, zgromadzona w świecie islamskim, jest na usługi tych, kto pragnie ją uzyskać. Dobrzy mentorzy podzielą się wiedzą z wszystkimi, którzy tego zapragną.
str_ms_t_school_long_descr_fac4|Dobre wykształcenie, to warunek sukcesu i rozkwitu. Uniwersytet zaś jest miejscem, w którym można je uzyskać. Oczywiście, jeśli masz sakiewkę pełną srebra.
str_ms_t_school_long_descr_fac5|W kolegiach uczą się kozackie dzieci. Otwierając taką instytucję władca zyska szacunek swoich ludzi. I znów będzie gdzie towarzyszy w naukach podciągnąć...
str_ms_t_school_remour_descr_fac1|Matko Boska! Dzięki akademii mój szynk rozkwita!
str_ms_t_school_remour_descr_fac2|Wczoraj u mnie popasało dwóch bogatych scholarów. Teraz pieniędzy i na krowę wystarczy!
str_ms_t_school_remour_descr_fac3|Medresa, to, oczywiście, coś dobrego, ale teraz nie ma gdzie kupić papieru i atramentu - wszystko Ci uczeni wykupują.
str_ms_t_school_remour_descr_fac4|Wraz z budową nowego uniwersytetu nasz pastor w końcu mógł wyremontować kościół - od wyznających grzechy mieszczanek nie można się opędzić.
str_ms_t_school_remour_descr_fac5|Seminarzyści znów po pijanemu awanturowali się w szynku. Chyba w tym kolegium ich tylko horyłkę pić uczą...
str_ms_t_merchant_guild_short_descr_fac1|Sejmik
str_ms_t_merchant_guild_short_descr_fac2|Sejmik
str_ms_t_merchant_guild_short_descr_fac3|Sejmik
str_ms_t_merchant_guild_short_descr_fac4|Sejmik
str_ms_t_merchant_guild_short_descr_fac5|Sejmik
str_ms_t_merchant_guild_long_descr_fac1|Na sejmiku mieszczanie rozwiązują wszystkie aktualne problemy. W takim miejscu i podatki zbierać łatwiej.
str_ms_t_merchant_guild_long_descr_fac2|Jeśli w mieście zbudowano gildię kupiecką, to i kupcy się bogacą i mieszczanie. I podatków wojewoda więcej zbiera.
str_ms_t_merchant_guild_long_descr_fac3|Jeśli kupcy mają się gdzie zatrzymać, rozpakować towary i miło spędzić czas, to miejski skarbiec nigdy nie będzie pusty.
str_ms_t_merchant_guild_long_descr_fac4|Magistrat - miejsce przez które przechodzą wszystkie kontrakty i umowy handlowe. Jeśli taki budynek jest w mieście - łatwiej zbiera się podatki.
str_ms_t_merchant_guild_long_descr_fac5|Na majdanie wszystkich kupców dobrze widać. A i dowolną sprawę obgadać o wiele łatwiej. Miasto, w którym jest majdan, bogaci się w oczach.
str_ms_t_merchant_guild_remour_descr_fac1|Wczoraj na sejmiku postanowiono obcych kupców na rynek nie wpuszczać. Teraz będzie łatwiej handlować.
str_ms_t_merchant_guild_remour_descr_fac2|W mieście skandal - gildia kupiecka wykorzystując swoją pozycję, rozgromiła kupca, który odmówił wstąpienia w jej szeregi.
str_ms_t_merchant_guild_remour_descr_fac3|Wczoraj w karawanseraju kupiec napalił się haszyszu i za darmo rozdawał jedwabne tkaniny.
str_ms_t_merchant_guild_remour_descr_fac4|W magistracie wskazano kupców, którzy uchylają się od płacenia podatków. Wszystkich wzięto pod straż.
str_ms_t_merchant_guild_remour_descr_fac5|Dziś na majdanie będą pewną wszetecznicę za rozpustę biczować. Miejsca przy oknach już po dziesięć talarów sprzedają.
str_ms_t_defense_short_descr_fac1|Wilcze jamy
str_ms_t_defense_short_descr_fac2|Wilcze jamy
str_ms_t_defense_short_descr_fac3|Wilcze jamy
str_ms_t_defense_short_descr_fac4|Wilcze jamy
str_ms_t_defense_short_descr_fac5|Wilcze jamy
str_ms_t_defense_long_descr_fac1|Na wojnie wszystkie środki dozwolone. Im więcej napastników wpadnie w pułapki, tym łatwiej będzie obronić miasto.
str_ms_t_defense_long_descr_fac2|Kiedy wokół miasta rozmieszczone są zasieki z zaostrzonych palików, to dla wroga szturmowanie jest podwójnym trudem.
str_ms_t_defense_long_descr_fac3|Jeśli wokół murów wykopana jest fosa, to obrońcy mają większe szanse na odparcie ataku.
str_ms_t_defense_long_descr_fac4|Podziemne przejście, wyprowadzające za miasto, to doskonałe wsparcie obrony. Można wysłać zaufanych ludzi i napaść na tyły wroga.
str_ms_t_defense_long_descr_fac5|Wysunięte strażnice z zaostrzonymi drzewcami, skierowanymi do przodu - pewny środek obrony. Zwłaszcza przed najazdami tatarów.
str_ms_t_defense_remour_descr_fac1|Wczoraj nasz wojewoda wracał z popijawy i wpadł do jamy. Śmiechu było co nie miara!
str_ms_t_defense_remour_descr_fac2|Kobietom spodobały się nowe zasieki - wygodnie się na nich pranie suszy!
str_ms_t_defense_remour_descr_fac3|Nasz mufti spadł z murów, lecz, chwała Allachowi, trafił w nową fosę, pełną wody. Szkoda tylko, że nie umiał pływać...
str_ms_t_defense_remour_descr_fac4|W mieście żałoba - stały bywalec karczmy w nocy po pijanemu spadł do podziemnego przejścia.
str_ms_t_defense_remour_descr_fac5|Powiadają, że wczoraj ataman koszowy wylazł na wieżę, warty sprawdzić i zauważył, jak od jego żonki posłaniec wychodzi. Och, ależ klął...
str_ms_t_treasury_short_descr_fac1|Skarbnica
str_ms_t_treasury_short_descr_fac2|Pancerny skarbiec
str_ms_t_treasury_short_descr_fac3|Skarbiec
str_ms_t_treasury_short_descr_fac4|Dom bankierski
str_ms_t_treasury_short_descr_fac5|Skarbiec koszowy
str_ms_t_treasury_long_descr_fac1|Jeśli w mieście jest skarbnica - nie będziesz musiał osobiście zajmować się zbieraniem podatków.
str_ms_t_treasury_long_descr_fac2|Jeśli w twierdzy jest pancerny skarbiec, to podatki zbiera się łatwiej - nie trzeba samemu od domu do domu chodzić.
str_ms_t_treasury_long_descr_fac3|Jeśli w mieście jest skarbiec, to i podatki od mieszczan zbierać jest łatwiej.
str_ms_t_treasury_long_descr_fac4|Dom bankierski - miejsce, gdzie przechowywane są pieniądze władcy, w tym i zebrane pogłówne.
str_ms_t_treasury_long_descr_fac5|Jeśli w mieście jest skarbiec koszowy, to pan władca nie musi osobiście z mieszkańców podatków wyduszać.
str_ms_t_treasury_remour_descr_fac1|Nasz władca - człowiek mądry, zawsze ma zapas talarów na czarną godzinę!
str_ms_t_treasury_remour_descr_fac2|Na bazarze gadają, że wczoraj dwóch nieznajomych skarbiec próbowało obrabować. Zabrakło im pieniędzy na karczmę...
str_ms_t_treasury_remour_descr_fac3|Wczoraj nasz pan władca rozdawał jałmużnę. Znaczy się, skarbiec pustkami nie świeci...
str_ms_t_treasury_remour_descr_fac4|Nasz władca postawił dom bankierski! Wzięliśmy tam pożyczkę i kupiliśmy nowe meble.
str_ms_t_treasury_remour_descr_fac5|Wczoraj ataman koszowy zbierał kozaków i wszystkich częstował horyłką. Powiadają, że talary wziął ze skarbca.
str_ms_t_barrack_short_descr_fac1|Barak wojskowy
str_ms_t_barrack_short_descr_fac2|Barak wojskowy
str_ms_t_barrack_short_descr_fac3|Barak wojskowy
str_ms_t_barrack_short_descr_fac4|Barak wojskowy
str_ms_t_barrack_short_descr_fac5|Barak wojskowy
str_ms_t_barrack_long_descr_fac1|Gdzież niby trzymać wojsko, jak nie w koszarach. Tak i spokojniej będzie, nie ma po co żołdactwo po mieście się włóczyć.
str_ms_t_barrack_long_descr_fac2|Gdzież niby trzymać wojsko, jak nie w koszarach. Tak i spokojniej będzie, nie ma po co żołdactwo po mieście się włóczyć.
str_ms_t_barrack_long_descr_fac3|Gdzież niby trzymać wojsko, jak nie w koszarach. Tak i spokojniej będzie, nie ma po co żołdactwo po mieście się włóczyć.
str_ms_t_barrack_long_descr_fac4|Gdzież niby trzymać wojsko, jak nie w koszarach. Tak i spokojniej będzie, nie ma po co żołdactwo po mieście się włóczyć.
str_ms_t_barrack_long_descr_fac5|Gdzież niby trzymać wojsko, jak nie w koszarach. Tak i spokojniej będzie, nie ma po co żołdactwo po mieście się włóczyć.
str_ms_t_barrack_remour_descr_fac1|Powiadają, że w mieście zbudowano baraki wojskowe.
str_ms_t_barrack_remour_descr_fac2|Powiadają, że w mieście zbudowano baraki wojskowe.
str_ms_t_barrack_remour_descr_fac3|Powiadają, że w mieście zbudowano baraki wojskowe.
str_ms_t_barrack_remour_descr_fac4|Powiadają, że w mieście zbudowano baraki wojskowe.
str_ms_t_barrack_remour_descr_fac5|Powiadają, że w mieście zbudowano kozacki kureń.
str_ms_t_stable_short_descr_fac1|Stajnia
str_ms_t_stable_short_descr_fac2|Stajnia
str_ms_t_stable_short_descr_fac3|Stajnia
str_ms_t_stable_short_descr_fac4|Stajnia
str_ms_t_stable_short_descr_fac5|Stajnia
str_ms_t_stable_long_descr_fac1|Silne wojsko nie obejdzie się bez kawalerii, a zanim zaczniesz szkolić kawalerzystów, musisz zbudować stajnie.
str_ms_t_stable_long_descr_fac2|Silne wojsko nie obejdzie się bez kawalerii, a zanim zaczniesz szkolić kawalerzystów, musisz zbudować stajnie.
str_ms_t_stable_long_descr_fac3|Silne wojsko nie obejdzie się bez kawalerii, a zanim zaczniesz szkolić kawalerzystów, musisz zbudować stajnie.
str_ms_t_stable_long_descr_fac4|Silne wojsko nie obejdzie się bez kawalerii, a zanim zaczniesz szkolić kawalerzystów, musisz zbudować stajnie.
str_ms_t_stable_long_descr_fac5|Silne wojsko nie obejdzie się bez kawalerii, a zanim zaczniesz szkolić kawalerzystów, musisz zbudować stajnie.
str_ms_t_stable_remour_descr_fac1|Powiadają, że w mieście zbudowano nowe stajnie.
str_ms_t_stable_remour_descr_fac2|Powiadają, że w mieście zbudowano nowe stajnie.
str_ms_t_stable_remour_descr_fac3|Powiadają, że w mieście zbudowano nowe stajnie.
str_ms_t_stable_remour_descr_fac4|Powiadają, że w mieście zbudowano nowe stajnie.
str_ms_t_stable_remour_descr_fac5|Powiadają, że w mieście zbudowano nowe stajnie.
str_ms_t_armourer_short_descr_fac1|Zbrojmistrz
str_ms_t_armourer_short_descr_fac2|Zbrojmistrz
str_ms_t_armourer_short_descr_fac3|Zbrojmistrz
str_ms_t_armourer_short_descr_fac4|Zbrojmistrz
str_ms_t_armourer_short_descr_fac5|Zbrojmistrz
str_ms_t_armourer_long_descr_fac1|Dobry zbrojmistrz to gwarancja tego, że handel bronią będzie kwitł, a i nie szkodziłoby zamówić u takiego mistrza szabelkę czy parę pistoletów.
str_ms_t_armourer_long_descr_fac2|Jeśli w mieście jest zbrojmistrz - oznacza to, że jest i lepsza broń. Prawda, ceny u takiego mistrza, nie należą do niskich.
str_ms_t_armourer_long_descr_fac3|Jeśli w mieście jest zbrojmistrz - oznacza to, że jest i lepsza broń. Prawda, ceny u takiego mistrza, nie należą do niskich.
str_ms_t_armourer_long_descr_fac4|Jeśli w mieście jest zbrojmistrz - oznacza to, że jest i lepsza broń. Prawda, ceny u takiego mistrza, nie należą do niskich.
str_ms_t_armourer_long_descr_fac5|Jeśli w mieście jest zbrojmistrz - oznacza to, że jest i lepsza broń. Prawda, ceny u takiego mistrza, nie należą do niskich.
str_ms_t_armourer_remour_descr_fac1|Powiadają, że nowym toporem, wykutym przez zbrojmistrza, miejski kat się goli o poranku...
str_ms_t_armourer_remour_descr_fac2|Powiadają, że do nowego zbrojmistrza nawet szlachta przyjeżdża zamawiać pistolety.
str_ms_t_armourer_remour_descr_fac3|Powiadają, że nasz zbrojmistrz uczył się w Damaszku...
str_ms_t_armourer_remour_descr_fac4|Powiadają, że muszkiet zrobiony przez nowego zbrojmistrza bije na pięćset kroków!
str_ms_t_armourer_remour_descr_fac5|Zbrojmistrz wykuł setnikowi nową szablę. Pióro w locie przecina!
str_ms_t_protection_short_descr_fac1|Płatnerz
str_ms_t_protection_short_descr_fac2|Płatnerz
str_ms_t_protection_short_descr_fac3|Płatnerz
str_ms_t_protection_short_descr_fac4|Płatnerz
str_ms_t_protection_short_descr_fac5|Płatnerz
str_ms_t_protection_long_descr_fac1|W mieście, w którym jest dobry płatnerz, pancerze żołnierzy są zawsze zadbane, a w kramie, gdzie pancerze sprzedają - bogatszy wybór.
str_ms_t_protection_long_descr_fac2|W mieście, w którym jest dobry płatnerz, pancerze żołnierzy są zawsze zadbane, a w kramie, gdzie pancerze sprzedają - bogatszy wybór.
str_ms_t_protection_long_descr_fac3|W mieście, w którym jest dobry płatnerz, pancerze żołnierzy są zawsze zadbane, a w kramie, gdzie pancerze sprzedają - bogatszy wybór.
str_ms_t_protection_long_descr_fac4|W mieście, w którym jest dobry płatnerz, pancerze żołnierzy są zawsze zadbane, a w kramie, gdzie pancerze sprzedają - bogatszy wybór.
str_ms_t_protection_long_descr_fac5|W mieście, w którym jest dobry płatnerz, pancerze żołnierzy są zawsze zadbane, a w kramie, gdzie pancerze sprzedają - bogatszy wybór.
str_ms_t_protection_remour_descr_fac1|W niedziele płatnerz wszystkim demonstruje jakie mocne są jego pancerze - wiesza na ścianie kirys i proponuje ochotnikom, żeby przestrzelili go z pistoletu. Bierze po talarze od wystrzału...
str_ms_t_protection_remour_descr_fac2|Wczoraj wojewoda paradował w nowym hełmie. Powiadają, że dał za niego tysiąc talarów!
str_ms_t_protection_remour_descr_fac3|Nasz bek zamówił sobie nowy pancerz. Złocony!
str_ms_t_protection_remour_descr_fac4|Płatnerz nie przyjmuje więcej zamówień - polecono mu wyekwipować cały pułk rajtarów.
str_ms_t_protection_remour_descr_fac5|Wczoraj przyjechali siczowcy. Zamówili u płatnerza żelazne zwitki i szarawary.
str_ms_t_groom_short_descr_fac1|Mistrz-koniuszy
str_ms_t_groom_short_descr_fac2|Mistrz-koniuszy
str_ms_t_groom_short_descr_fac3|Mistrz-koniuszy
str_ms_t_groom_short_descr_fac4|Mistrz-koniuszy
str_ms_t_groom_short_descr_fac5|Mistrz-koniuszy
str_ms_t_groom_long_descr_fac1|Dobre konie na wojnie potrzebne są wszystkim. I człowiek znający się na ich hodowli jest na wagę złota.
str_ms_t_groom_long_descr_fac2|Dobre konie na wojnie potrzebne są wszystkim. I człowiek znający się na ich hodowli jest na wagę złota.
str_ms_t_groom_long_descr_fac3|Dobre konie na wojnie potrzebne są wszystkim. I człowiek znający się na ich hodowli jest na wagę złota.
str_ms_t_groom_long_descr_fac4|Dobre konie na wojnie potrzebne są wszystkim. I człowiek znający się na ich hodowli jest na wagę złota.
str_ms_t_groom_long_descr_fac5|Dobre konie na wojnie potrzebne są wszystkim. I człowiek znający się na ich hodowli jest na wagę złota.
str_ms_t_groom_remour_descr_fac1|Mistrz-koniuszy wyhodował wspaniałe konie. Obiecał je pokazać na jutrzejszym jarmarku.
str_ms_t_groom_remour_descr_fac2|Wojewodę wczoraj zrzuciła narowista kobyła. Nowy koniuszy wybrał mu konia spokojniejszego, więc teraz zasypia w czasie jazdy.
str_ms_t_groom_remour_descr_fac3|Bekowi wczoraj przygnano ze stepu nowy tabun. Takich koni jeszcze w mieście nie widziano!
str_ms_t_groom_remour_descr_fac4|Do naszego miasta po konie przyjeżdżają nawet rajtarzy!
str_ms_t_groom_remour_descr_fac5|Nasz koniuch wyhodował wspaniałe konie. Fakt, powiadają, że je zabrał tatarom...
str_ms_t_advizer_short_descr_fac1|Posłaniec
str_ms_t_advizer_short_descr_fac2|Posłaniec
str_ms_t_advizer_short_descr_fac3|Posłaniec
str_ms_t_advizer_short_descr_fac4|Posłaniec
str_ms_t_advizer_short_descr_fac5|Posłaniec
str_ms_t_advizer_long_descr_fac1|Zawsze trzeba mieć pod ręką zaufanego człowieka, do przekazywania rozkazów.
str_ms_t_advizer_long_descr_fac2|Zawsze trzeba mieć pod ręką zaufanego człowieka, do przekazywania rozkazów.
str_ms_t_advizer_long_descr_fac3|Zawsze trzeba mieć pod ręką zaufanego człowieka, do przekazywania rozkazów.
str_ms_t_advizer_long_descr_fac4|Zawsze trzeba mieć pod ręką zaufanego człowieka, do przekazywania rozkazów.
str_ms_t_advizer_long_descr_fac5|Zawsze trzeba mieć pod ręką zaufanego człowieka, do przekazywania rozkazów.
str_ms_t_advizer_remour_descr_fac1|Chodzą słuchy, że do grododzierżcy goniec przyjechał, ważny dokument przywiózł.
str_ms_t_advizer_remour_descr_fac2|Powiadają, że do miasta przybył goniec z tajnym dokumentem. Co prawda - nie wiadomo, co dokument zawiera.
str_ms_t_advizer_remour_descr_fac3|Nasz bej dostał pilną wiadomość. Ci nowi gońcy są szybcy jak wiatr...
str_ms_t_advizer_remour_descr_fac4|Dziś kurier przywiózł pocztę. Rodzina list przysłała...
str_ms_t_advizer_remour_descr_fac5|Znów wojna! Gońcy śmigają od miasta do miasta jak szaleni!
str_ms_t_secret_order_short_descr_fac1|Komornik
str_ms_t_secret_order_short_descr_fac2|Komornik
str_ms_t_secret_order_short_descr_fac3|Komornik
str_ms_t_secret_order_short_descr_fac4|Komornik
str_ms_t_secret_order_short_descr_fac5|Komornik
str_ms_t_secret_order_long_descr_fac1|Dobrze, gdy w mieście jest człowiek, który może i przestępców złapać i uczciwy sąd nad nimi uczynić.
str_ms_t_secret_order_long_descr_fac2|Kiedy w mieście ma kto śledztwa prowadzić i złodziei sądzić - sprawy naszego władcy będą szły dobrze.
str_ms_t_secret_order_long_descr_fac3|Mufti w mieście jest czasem ważniejszy i od głównodowodzącego. Przecież może on każdy spór rozsądzić według praw szariatu i zawsze pierwszy dowie się o zdradzie.
str_ms_t_secret_order_long_descr_fac4|Prokurator zapewnia porządek w mieście. Zdrajcom trudno jest knuć spiski, a przestępcy w ogóle mają ciężkie życie.
str_ms_t_secret_order_long_descr_fac5|Kozacy to naród gorący. Tam, gdzie się osiedlają zawsze wybuchają spory i kłótnie. Bez atamana koszowego nie sposób zaprowadzić porządku.
str_ms_t_secret_order_remour_descr_fac1|Złodzieje boją się teraz własnego cienia. Nowy komornik to spryciarz.
str_ms_t_secret_order_remour_descr_fac2|Jeśli naczelnik nadal będzie z takim sukcesem walczył ze złodziejstwem, to wkrótce pół miasta zostanie bez uszu.
str_ms_t_secret_order_remour_descr_fac3|Nowy mufti - dobry człowiek. Skazał zdrajcę na śmierć przez uduszenie. A mógł kazać go na pal nabić.
str_ms_t_secret_order_remour_descr_fac4|Prokurator przyłapał na zdradzie bogatego kupca. Rozprawa będzie głośna...
str_ms_t_secret_order_remour_descr_fac5|Wczoraj ataman koszowy sądził koniokrada. Wyjaśniło się, że to tatarski szpieg. Oczywiście, powieszono go...
str_ms_t_tax_supervisor_short_descr_fac1|Wójt
str_ms_t_tax_supervisor_short_descr_fac2|Wójt
str_ms_t_tax_supervisor_short_descr_fac3|Wójt
str_ms_t_tax_supervisor_short_descr_fac4|Wójt
str_ms_t_tax_supervisor_short_descr_fac5|Wójt
str_ms_t_tax_supervisor_long_descr_fac1|Tylko pozwól mieszczanom, a w życiu podatków płacić nie będą. Dlatego bez wójta ani rusz.
str_ms_t_tax_supervisor_long_descr_fac2|Mądry celnik jest bezcenny. Mieszczanie wiecznie wymigują się od podatków i potrzeba człowieka, który potrafiłby przywrócić porządek.
str_ms_t_tax_supervisor_long_descr_fac3|W miastach zawsze kwitnie handel. A gdzie handel, tam potrzeba i naczelnika celnego. Inaczej władca zobaczy dochód jak własne uszy.
str_ms_t_tax_supervisor_long_descr_fac4|Prawo magdeburskie rozpuściło mieszczan, że oduczyli się płacić podatki. Najlepszym nauczycielem będzie dla nich zdolny poborca.
str_ms_t_tax_supervisor_long_descr_fac5|Wojny, powstania, najazdy... Mieszczanie zapomnieli o tym, że trzeba płacić podatki. Wójt może odświeżyć im pamięć...
str_ms_t_tax_supervisor_remour_descr_fac1|Miejska szlachta jest wzburzona - muszą wpłacać do skarbca!
str_ms_t_tax_supervisor_remour_descr_fac2|Wczoraj celnik chodził od domu do domu, zaległości zbierał. Od nas świnię zabrał i dwa koguty.
str_ms_t_tax_supervisor_remour_descr_fac3|Wielki Allach! Nasz mądry władca troszczy się o poddanych, zabiera im zbędne pieniądze. Wszystkie pieniądze na podatki oddałem, nowego chałatu nie mam za co kupić!
str_ms_t_tax_supervisor_remour_descr_fac4|Oczywiście, nielekko się płaci podatki. Lecz będziemy mieć nadzieję, że nasze pieniądze nie pójdą na uczty i rozrywki.
str_ms_t_tax_supervisor_remour_descr_fac5|Wczoraj mieszczanie zebrali się, żeby pójść pobić wójta. Już całkiem nam żyć nie daje.
str_ms_t_trading_master_short_descr_fac1|Makler giełdowy
str_ms_t_trading_master_short_descr_fac2|Makler giełdowy
str_ms_t_trading_master_short_descr_fac3|Makler giełdowy
str_ms_t_trading_master_short_descr_fac4|Makler giełdowy
str_ms_t_trading_master_short_descr_fac5|Makler giełdowy
str_ms_t_trading_master_long_descr_fac1|Jeśli na giełdzie jest swój człowiek, to skarbiec będzie miał dodatkowy dochód.
str_ms_t_trading_master_long_descr_fac2|Zaufany kupiec - człowiek pożyteczny. I dochód przyniesie i ciekawych informacji dostarczy.
str_ms_t_trading_master_long_descr_fac3|Zaufany karawan-basza - gwarancja dobrobytu. Obserwuje kupców i nie pozwala im oszukiwać.
str_ms_t_trading_master_long_descr_fac4|Jeśli miasto ma swego własnego markietana, to wszystkie zakupy będą tańsze. A oszczędność prowadzi do wzrostu dochodów.
str_ms_t_trading_master_long_descr_fac5|Wprowadzenie do handlu własnego sklepikarza to świetny pomysł! Niech mieszczanie wydają pieniądze u niego i przynoszą dodatkowy dochód.
str_ms_t_trading_master_remour_descr_fac1|Powiadają, że wczoraj na giełdzie wybuchł skandal. Makler naszego władcy postanowił oszukiwać.
str_ms_t_trading_master_remour_descr_fac2|Oto kolejny kupiec ogłosił upadłość. Wkrótce w mieście zostaną tylko Ci handlarze, którzy pracują dla naszego nowego władcy...
str_ms_t_trading_master_remour_descr_fac3|Mówi się, że karawan-basza handluje przemycanym haszyszem. Wszystko mu na sucho ujdzie, sam władca go mianował...
str_ms_t_trading_master_remour_descr_fac4|Nowy markietan przejął wszystkie dostawy państwowe. Powiadają, że jest w zmowie z władzami.
str_ms_t_trading_master_remour_descr_fac5|W nowym sklepiku horyłka jest trzy razy droższa, lecz cóż robić, skoro wszystkim innym zabroniono sprzedaży alkoholu...
str_ms_t_priest_short_descr_fac1|Biskup
str_ms_t_priest_short_descr_fac2|Biskup
str_ms_t_priest_short_descr_fac3|Biskup
str_ms_t_priest_short_descr_fac4|Biskup
str_ms_t_priest_short_descr_fac5|Biskup
str_ms_t_priest_long_descr_fac1|W mieście, w którym biskup rezyduje, władca nigdy przegrany nie będzie.
str_ms_t_priest_long_descr_fac2|Jeśli umieścisz swojego człowieka w katedrze, łatwiej będzie Ci się dogadać z mieszczanami.
str_ms_t_priest_long_descr_fac3|Imam - niekwestionowany autorytet dla prawowiernych. Gdy powie ''płacić'' - będą płacić. Dlatego też imam powinien być zaufanym człowiekiem.
str_ms_t_priest_long_descr_fac4|Kapelan garnizonu - ważna osobistość. I modlitwę odmówi i porządku przypilnuje. A i podatki zbierać pomoże.
str_ms_t_priest_long_descr_fac5|Jeśli kapłan ma język na swoim miejscu, to i skarbiec pełniejszy będzie.
str_ms_t_priest_remour_descr_fac1|Chodzą słuchy, że nowy biskup jest wrażliwy na chóralne śpiewy. Najlepszych śpiewaków zebrał w katedralnym chórze...
str_ms_t_priest_remour_descr_fac2|Wczoraj proboszcz chrzcił syna wojewody. Powiadają, że do samego wieczora ani łyka nie wziął...
str_ms_t_priest_remour_descr_fac3|Wczoraj nauczał imam. Mówił, że ci, którzy nie płacą podatków, wywołują gniew Allacha.
str_ms_t_priest_remour_descr_fac4|Wczoraj kapelan osobiście poprowadził rajd na rynek. Powiadają, że zaległości zebrano trzy razy więcej niż zwykle.
str_ms_t_priest_remour_descr_fac5|Kapłan niedawno spowiadał pewną wdowę. I powiadają, iż z takim zaangażowaniem jej grzechy odpuszczał, że ona teraz jest w ciąży.
str_ms_t_garrison_commander_short_descr_fac1|Kasztelan
str_ms_t_garrison_commander_short_descr_fac2|Kasztelan
str_ms_t_garrison_commander_short_descr_fac3|Kasztelan
str_ms_t_garrison_commander_short_descr_fac4|Kasztelan
str_ms_t_garrison_commander_short_descr_fac5|Kasztelan
str_ms_t_garrison_commander_long_descr_fac1|Zawsze powinien być w zamku kasztelan, żeby porządku pilnować.
str_ms_t_garrison_commander_long_descr_fac2|Wojewoda to ważny człowiek w mieście. I o garnizon zadba i w razie konieczności pospolite ruszenie zbierze.
str_ms_t_garrison_commander_long_descr_fac3|Dizdar - dowódca miejskiego garnizonu. Jeśli dobrze wypełnia swą służbę, można się o garnizon nie martwić.
str_ms_t_garrison_commander_long_descr_fac4|Kasztelan miasta utrzymuje dyscyplinę w garnizonie i w razie najazdu może szybko zebrać pospolite ruszenie.
str_ms_t_garrison_commander_long_descr_fac5|Dobry setnik wszystkich mieszkańców zna jak zły szeląg. Gdy coś się stanie, migiem zbierze pod bronią wszystkich, którzy mogą broń unieść.
str_ms_t_garrison_commander_remour_descr_fac1|Kasztelan tak wyszkolił żołnierzy, że oni w szyku nawet za potrzebą chodzą.
str_ms_t_garrison_commander_remour_descr_fac2|Wojewoda wczoraj prace wychowawcze przeprowadzał. Dwóm strażnikom połamał szczęki, jednemu dwa żebra złamał...
str_ms_t_garrison_commander_remour_descr_fac3|Dzięki nowemu dizdarowi wszyscy mężczyźni codziennie chodzą na zajęcia wojskowe. Nie ma kto pracować.
str_ms_t_garrison_commander_remour_descr_fac4|Niech będzie przeklęty nowy kasztelan! Musztruje niewinnych mieszczan, jak rekrutów...
str_ms_t_garrison_commander_remour_descr_fac5|Nieźle zaczął nowy setnik. Rozdał chłopcom kije (tyczki) zamiast pik i gania ich po pastwisku do siódmych potów.
str_ms_t_upgrade_officer_infantry_short_descr_fac1|Setnik polskiej piechoty
str_ms_t_upgrade_officer_infantry_short_descr_fac2|Setnik polskiej piechoty
str_ms_t_upgrade_officer_infantry_short_descr_fac3|Setnik polskiej piechoty
str_ms_t_upgrade_officer_infantry_short_descr_fac4|Setnik polskiej piechoty
str_ms_t_upgrade_officer_infantry_short_descr_fac5|Setnik polskiej piechoty
str_ms_t_upgrade_officer_infantry_long_descr_fac1|Wojska piesze zawsze powinny mieć nad sobą setnika, żeby w wojsku był porządek i miał kto szkolić rekrutów.
str_ms_t_upgrade_officer_infantry_long_descr_fac2|Strzelcy zawsze powinni mieć nad sobą pomocnika, żeby w wojsku był porządek i miał kto szkolić rekrutów.
str_ms_t_upgrade_officer_infantry_long_descr_fac3|Jazda, oczywiście, jest lepsza, lecz i piechoty nie wolno nie doceniać.
str_ms_t_upgrade_officer_infantry_long_descr_fac4|Wojska piesze zawsze powinny mieć nad sobą setnika, żeby w wojsku był porządek i miał kto szkolić rekrutów.
str_ms_t_upgrade_officer_infantry_long_descr_fac5|Kozacy zawsze powinni mieć nad sobą setnika, żeby w wojsku był porządek i miał kto szkolić rekrutów.
str_ms_t_upgrade_officer_infantry_remour_descr_fac1|Powiadają, że wyznaczono nowego setnika piechoty.
str_ms_t_upgrade_officer_infantry_remour_descr_fac2|Powiadają, że wyznaczono nowego pomocnika.
