str_no_string|AUCUNE CHAÎNE !
str_ms_t_arsenal_remour_descr_fac3|Longue vie au bek ! La ville dispose maintenant de son propre armurerie.
str_ms_t_arsenal_remour_descr_fac4|Les réserves sont pleines d'armes et elles sont bien gardées.
str_ms_t_arsenal_remour_descr_fac5|On dit que les nouvelles armurerie de la ville abritent un nombre incalculable de pistolets.
str_ms_t_waterpipe_short_descr_fac1|Réserves d'eau
str_ms_t_waterpipe_short_descr_fac2|Réserves d'eau
str_ms_t_waterpipe_short_descr_fac3|Réserves d'eau
str_ms_t_waterpipe_short_descr_fac4|Réserves d'eau
str_ms_t_waterpipe_short_descr_fac5|Réserves d'eau
str_ms_t_waterpipe_long_descr_fac1|Les conduites d'eau sont des infrastructures très importantes pour le bien-être d'une ville. L'eau potable permet aux habitants de tenir un siège plus longtemps. Cela permet aussi d'empêcher les maladies de se propager.
str_ms_t_waterpipe_long_descr_fac2|Si la ville dispose d'eau potable en quantité, elle sera prospère en temps de paix et résistera mieux à un siège.
str_ms_t_waterpipe_long_descr_fac3|Les bains publics sont non seulement bénéfiques pour la santé, mais ils purifient aussi l'âme. Les croyants peuvent aller se baigner plus souvent, tout en servant mieux leur seigneur.
str_ms_t_waterpipe_long_descr_fac4|Une ville débarrassée de ses eaux usées pourra soutenir un siège plus longtemps et sera moins sujette aux maladies.
str_ms_t_waterpipe_long_descr_fac5|Le peuple peut se baigner, puiser de l'eau ou bien laver ses vêtements dans le bassin de rétention. Une ville disposant de son propre bassin tiendra plus longtemps un siège.
str_ms_t_waterpipe_remour_descr_fac1|Désormais, la ville comporte un nouveau bâtiment et des réserves d'eau importantes.
str_ms_t_waterpipe_remour_descr_fac2|Les blanchisseuses se retrouvent au puits de la ville et colportent les dernières rumeurs.
str_ms_t_waterpipe_remour_descr_fac3|Aux bains publics, aujourd'hui, j'ai entendu dire que le prix du sel baissait.
str_ms_t_waterpipe_remour_descr_fac4|Depuis que les égouts ont été installés en ville, aucun membre de ma famille n'a souffert de dysenterie.
str_ms_t_waterpipe_remour_descr_fac5|Hier, c'était la ribouldingue au bassin. Les femmes sautaient nues dans l'eau...
str_ms_t_school_short_descr_fac1|Académie
str_ms_t_school_short_descr_fac2|Académie
str_ms_t_school_short_descr_fac3|Académie
str_ms_t_school_short_descr_fac4|Académie
str_ms_t_school_short_descr_fac5|Académie
str_ms_t_school_long_descr_fac1|Les enfants issus de la noblesse et les riches habitants de la ville étudient ici. Si vous êtes prêts à payer, vos compagnons pourront également apprendre.
str_ms_t_school_long_descr_fac2|Ici, les jeunes gens apprennent à écrire, à lire et à compter. Si vous désirez apporter quelques connaissances à vos compagnons, soyez prêts à vous délester de vos thalers.
str_ms_t_school_long_descr_fac3|Pour ceux que cela intéresse, toute la sagesse du monde islamique se trouve ici. Le maître bienveillant sera heureux de partager son savoir avec tous ceux qui le désirent.
str_ms_t_school_long_descr_fac4|Une bonne éducation, fondement du succès et de la prospérité, peut être obtenue à l'université. Naturellement, assurez-vous que votre bourse soit suffisamment rebondie...
str_ms_t_school_long_descr_fac5|Les enfants cosaques étudient dans une faculté. Si un seigneur crée un tel institut, le peuple l'honorera. Vous pourrez améliorer les compétences de vos compagnons par la même occasion.
str_ms_t_school_remour_descr_fac1|Sainte mère de Dieu ! Grâce à l'académie, ma taverne connaît une prospérité sans précédent.
str_ms_t_school_remour_descr_fac2|Hier, de riches étudiants ont loué mes logements. Maintenant, je dispose d'assez d'argent pour acheter une vache.
str_ms_t_school_remour_descr_fac3|Une madrasa est une bonne chose, mais plus personne ne peut trouver de papier ni d'encre nulle part. Ces sages achètent tout ce qui est disponible.
str_ms_t_school_remour_descr_fac4|Après la construction de l'université, notre pasteur a enfin réussi à réparer l'église. Les femmes repentantes de la ville y viennent tous les jours.
str_ms_t_school_remour_descr_fac5|Les étudiants ont encore provoqué une rixe à la taverne. À croire qu'on ne leur apprend qu'à boire de la vodka, dans cette faculté.
str_ms_t_merchant_guild_short_descr_fac1|Guilde des marchands
str_ms_t_merchant_guild_short_descr_fac2|Guilde des marchands
str_ms_t_merchant_guild_short_descr_fac3|Guilde des marchands
str_ms_t_merchant_guild_short_descr_fac4|Guilde des marchands
str_ms_t_merchant_guild_short_descr_fac5|Guilde des marchands
str_ms_t_merchant_guild_long_descr_fac1|Les habitants rapportent tous leurs problèmes urgents au Sejmic. Il est aussi plus simple de collecter les impôts dans ce genre de lieu.
str_ms_t_merchant_guild_long_descr_fac2|Si un marché est établi dans la ville, les marchands et les habitants deviendront plus prospères et le chef de guerre pourra lever plus d'impôts.
str_ms_t_merchant_guild_long_descr_fac3|Tant que les marchands ont un lieu où ils peuvent s'arrêter pour entreposer leurs marchandises et passer un peu de bon temps, la trésorerie de la ville ne sera jamais vide.
str_ms_t_merchant_guild_long_descr_fac4|La guilde des marchands est le lieu où tous les contrats et les accords sont conclus. Si une ville dispose d'un tel lieu, les impôts sont plus faciles à collecter.
str_ms_t_merchant_guild_long_descr_fac5|C'est au maidan que se rassemblent les marchands et qu'on peut facilement les trouver. Toutes sortes d'affaires peuvent être traitées sur place. Une ville disposant d'un maidan s'enrichit jour après jour.
str_ms_t_merchant_guild_remour_descr_fac1|Hier, le Sejmic a décidé de bannir les marchands étrangers du marché. Le commerce sera plus facile, désormais.
str_ms_t_merchant_guild_remour_descr_fac2|Un scandale a éclaté en ville : la guilde des marchands a fait pression pour chasser un marchand qui refusait de la rejoindre.
str_ms_t_merchant_guild_remour_descr_fac3|Hier, un marchand soûl du caravansérail a cédé tous ses vêtements de soie gratuitement.
str_ms_t_merchant_guild_remour_descr_fac4|La guilde des marchands a mis la main sur tous les marchands qui ne payaient pas leurs impôts et les a mis aux arrêts.
str_ms_t_merchant_guild_remour_descr_fac5|Aujourd'hui, au maidan, une femme de petite vertu recevra dix coups de fouet pour libertinage. De bonnes places aux fenêtres sont vendues pour dix thalers.
str_ms_t_defense_short_descr_fac1|Fortifications
str_ms_t_defense_short_descr_fac2|Fortifications
str_ms_t_defense_short_descr_fac3|Fortifications
str_ms_t_defense_short_descr_fac4|Fortifications
str_ms_t_defense_short_descr_fac5|Fortifications
str_ms_t_defense_long_descr_fac1|En temps de guerre, tout ce qui peut apporter la victoire est bienvenu. La cité sera plus facile à défendre si un grand nombre d'assaillants se retrouvent pris au piège.
str_ms_t_defense_long_descr_fac2|Si une barricade constituée de pics acérés est construite autour de la ville, l'ennemi aura deux fois plus de difficultés à la prendre d'assaut.
str_ms_t_defense_long_descr_fac3|Les défenseurs auront plus de chances de repousser une attaque si une douve ceinture les murs.
str_ms_t_defense_long_descr_fac4|Un passage souterrain menant à l'extérieur de la ville est d'une grande utilité lors de sa défense. De plus, de tels tunnels permettent d'envoyer quelques hommes vaillants pour attaquer l'ennemi proche.
str_ms_t_defense_long_descr_fac5|Des pics acérés pointant vers l'extérieur constituent une bonne ligne de défense, particulièrement contre les assauts tartares.
str_ms_t_defense_remour_descr_fac1|Hier, notre chef de guerre est revenu soûl d'une fête et il est tombé comme une pierre dans la fosse. Quelle rigolade !
str_ms_t_defense_remour_descr_fac2|Les femmes apprécient les barricades de bois. C'est un endroit très pratique pour y faire sécher le linge.
str_ms_t_defense_remour_descr_fac3|Notre mufti est tombé des murailles de la forteresse, mais qu'Allah soit loué, il a atterri dans la nouvelle douve remplie d'eau. Malheureusement, il ne savait pas nager...
str_ms_t_defense_remour_descr_fac4|La ville est en deuil. Un client soûl de la taverne est tombé dans un des tunnels cette nuit.
str_ms_t_defense_remour_descr_fac5|On dit que le commandant est monté à la tour hier pour inspecter les gardes et qu'il a vu un soldat en armure qui quittait sa maison par la porte de derrière. Si vous l'aviez entendu jurer...
str_ms_t_treasury_short_descr_fac1|Trésorerie
str_ms_t_treasury_short_descr_fac2|Trésorerie
str_ms_t_treasury_short_descr_fac3|Trésorerie
str_ms_t_treasury_short_descr_fac4|Trésorerie
str_ms_t_treasury_short_descr_fac5|Trésorerie
str_ms_t_treasury_long_descr_fac1|Si la ville dispose d'un hôtel du trésor, vous n'aurez pas à collecter les impôts vous-même.
str_ms_t_treasury_long_descr_fac2|Si la forteresse dispose d'une salle des dépôts, vous n'aurez pas besoin de faire des allées et venues pour rassembler les impôts.
str_ms_t_treasury_long_descr_fac3|Si la ville dispose d'une trésorerie, il sera plus facile de taxer les habitants.
str_ms_t_treasury_long_descr_fac4|C'est dans une banque que l'argent du seigneur est mis à l'abri, y compris l'argent des impôts.
str_ms_t_treasury_long_descr_fac5|Si la ville dispose d'une trésorerie, le commandant n'a pas à aller collecter les impôts personnellement.
str_ms_t_treasury_remour_descr_fac1|Notre seigneur est un homme sage. Il garde toujours une bourse de thalers pour les périodes de vaches maigres.
str_ms_t_treasury_remour_descr_fac2|Le bruit court au marché que deux inconscients ont décidé de cambrioler la trésorerie hier. Ils n'avaient pas d'argent pour aller à la taverne, semble-t-il...
str_ms_t_treasury_remour_descr_fac3|Hier, notre seigneur a fait la charité. Ce qui veut dire que la trésorerie est sans doute loin d'être vide...
str_ms_t_treasury_remour_descr_fac4|Notre seigneur a ouvert une banque. Nous avons contracté un emprunt et avons acheté de nouveaux meubles.
str_ms_t_treasury_remour_descr_fac5|Hier, le commandant de la cité a réuni tous les Cosaques pour boire de la vodka. On dit qu'il aurait puisé dans la trésorerie pour payer la note.
str_ms_t_barrack_short_descr_fac1|Casernes
str_ms_t_barrack_short_descr_fac2|Casernes
str_ms_t_barrack_short_descr_fac3|Casernes
str_ms_t_barrack_short_descr_fac4|Casernes
str_ms_t_barrack_short_descr_fac5|Casernes
str_ms_t_barrack_long_descr_fac1|Où allez-vous loger vos troupes si vous ne disposez pas de casernes ? Sans compter que cela évitera à vos soldats de vadrouiller autour de la ville et renforcera l'ordre établi.
str_ms_t_barrack_long_descr_fac2|Où allez-vous loger vos troupes si vous ne disposez pas de casernes ? Sans compter que cela évitera à vos soldats de vadrouiller autour de la ville et renforcera l'ordre établi.
str_ms_t_barrack_long_descr_fac3|Où allez-vous loger vos troupes si vous ne disposez pas de casernes ? Sans compter que cela évitera à vos soldats de vadrouiller autour de la ville et renforcera l'ordre établi.
str_ms_t_barrack_long_descr_fac4|Où allez-vous loger vos troupes si vous ne disposez pas de casernes ? Sans compter que cela évitera à vos soldats de vadrouiller autour de la ville et renforcera l'ordre établi.
str_ms_t_barrack_long_descr_fac5|Où allez-vous loger vos troupes si vous ne disposez pas de casernes ? Sans compter que cela évitera à vos soldats de vadrouiller autour de la ville et renforcera l'ordre établi.
str_ms_t_barrack_remour_descr_fac1|Il paraît qu'une caserne a été construite en ville.
str_ms_t_barrack_remour_descr_fac2|Il paraît qu'une caserne a été construite en ville.
str_ms_t_barrack_remour_descr_fac3|Il paraît qu'une caserne a été construite en ville.
str_ms_t_barrack_remour_descr_fac4|Il paraît qu'une caserne a été construite en ville.
str_ms_t_barrack_remour_descr_fac5|Il paraît qu'une caserne a été construite en ville.
str_ms_t_stable_short_descr_fac1|Écurie
str_ms_t_stable_short_descr_fac2|Écurie
str_ms_t_stable_short_descr_fac3|Écurie
str_ms_t_stable_short_descr_fac4|Écurie
str_ms_t_stable_short_descr_fac5|Écurie
str_ms_t_stable_long_descr_fac1|Il n'y a pas d'armée forte sans cavalerie. Avant de pouvoir entraîner des cavaliers, vous aurez besoin d'écuries.
str_ms_t_stable_long_descr_fac2|Il n'y a pas d'armée forte sans cavalerie. Avant de pouvoir entraîner des cavaliers, vous aurez besoin d'écuries.
str_ms_t_stable_long_descr_fac3|Il n'y a pas d'armée forte sans cavalerie. Avant de pouvoir entraîner des cavaliers, vous aurez besoin d'écuries.
str_ms_t_stable_long_descr_fac4|Il n'y a pas d'armée forte sans cavalerie. Avant de pouvoir entraîner des cavaliers, vous aurez besoin d'écuries.
str_ms_t_stable_long_descr_fac5|Il n'y a pas d'armée forte sans cavalerie. Avant de pouvoir entraîner des cavaliers, vous aurez besoin d'écuries.
str_ms_t_stable_remour_descr_fac1|Il paraît qu'une nouvelle écurie a été construite en ville.
str_ms_t_stable_remour_descr_fac2|Il paraît qu'une nouvelle écurie a été construite en ville.
str_ms_t_stable_remour_descr_fac3|Il paraît qu'une nouvelle écurie a été construite en ville.
str_ms_t_stable_remour_descr_fac4|Il paraît qu'une nouvelle écurie a été construite en ville.
str_ms_t_stable_remour_descr_fac5|Il paraît qu'une nouvelle écurie a été construite en ville.
str_ms_t_armourer_short_descr_fac1|Maître d'armes
str_ms_t_armourer_short_descr_fac2|Maître d'armes
str_ms_t_armourer_short_descr_fac3|Maître d'armes
str_ms_t_armourer_short_descr_fac4|Maître d'armes
str_ms_t_armourer_short_descr_fac5|Maître d'armes
str_ms_t_armourer_long_descr_fac1|Un bon maître d'armes devrait s'assurer que le commerce d'armes reste prospère. Il est plutôt avisé de commander un sabre ou une paire de pistolets à ce dernier.
str_ms_t_armourer_long_descr_fac2|S'il y a une armurerie dans la ville, cela veut dire que les armes qui y sont fabriquées sont de bonne qualité. En revanche, les prix pratiqués sont très élevés.
str_ms_t_armourer_long_descr_fac3|S'il y a une armurerie dans la ville, cela veut dire que les armes qui y sont fabriquées sont de bonne qualité. En revanche, les prix pratiqués sont très élevés.
str_ms_t_armourer_long_descr_fac4|S'il y a une armurerie dans la ville, cela veut dire que les armes qui y sont fabriquées sont de bonne qualité. En revanche, les prix pratiqués sont très élevés.
str_ms_t_armourer_long_descr_fac5|S'il y a une armurerie dans la ville, cela veut dire que les armes qui y sont fabriquées sont de bonne qualité. En revanche, les prix pratiqués sont très élevés.
str_ms_t_armourer_remour_descr_fac1|On dit que le bourreau utilise la hache qu'il a achetée au maître d'armes de la ville pour se raser le matin...
str_ms_t_armourer_remour_descr_fac2|On dit que les nobles eux-mêmes se rendent chez le nouvel armurier pour acheter leurs pistolets...
str_ms_t_armourer_remour_descr_fac3|Il paraît que notre armurier a appris son art à Damas...
str_ms_t_armourer_remour_descr_fac4|Il paraît que notre nouvel armurier a fabriqué un mousquet capable de toucher une cible à plus de cent cinquante mètres de distance.
str_ms_t_armourer_remour_descr_fac5|L'armurier a forgé une nouvelle épée pour le commandant de la compagnie. Elle peut couper une plume en deux !
str_ms_t_protection_short_descr_fac1|Maître d'armures
str_ms_t_protection_short_descr_fac2|Maître d'armures
str_ms_t_protection_short_descr_fac3|Maître d'armures
str_ms_t_protection_short_descr_fac4|Maître d'armures
str_ms_t_protection_short_descr_fac5|Maître d'armures
str_ms_t_protection_long_descr_fac1|En ville, un bon maître d'armures conservera le matériel des guerriers en bonne condition et le choix des armes de la boutique sera étendu.
str_ms_t_protection_long_descr_fac2|En ville, un bon maître d'armures conservera le matériel des guerriers en bonne condition et le choix des armes de la boutique sera étendu.
str_ms_t_protection_long_descr_fac3|En ville, un bon maître d'armures conservera le matériel des guerriers en bonne condition et le choix des armes de la boutique sera étendu.
str_ms_t_protection_long_descr_fac4|En ville, un bon maître d'armures conservera le matériel des guerriers en bonne condition et le choix des armes de la boutique sera étendu.
str_ms_t_protection_long_descr_fac5|En ville, un bon maître d'armures conservera le matériel des guerriers en bonne condition et le choix des armes de la boutique sera étendu.
str_ms_t_protection_remour_descr_fac1|Le dimanche, le maître démontre à quel point son armure est solide. Il place une cuirasse sur le mur et propose aux gens de tirer dessus au pistolet. Il fait payer un thaler pour chaque tir.
str_ms_t_protection_remour_descr_fac2|Le chef de guerre a exhibé son nouveau casque hier. On dit qu'il lui a coûté plus de mille thalers.
str_ms_t_protection_remour_descr_fac3|Notre bek s'est offert une nouvelle armure entièrement rehaussée d'or.
str_ms_t_protection_remour_descr_fac4|Le maître d'armures ne prend plus de nouvelles commandes. On lui a ordonné de fabriquer des armures pour un régiment complet de reîtres.
str_ms_t_protection_remour_descr_fac5|Hier, le Sich cosaque est venu et a commandé des pantalons et une série de cottes de mailles.
str_ms_t_groom_short_descr_fac1|Maître des chevaux
str_ms_t_groom_short_descr_fac2|Maître des chevaux
str_ms_t_groom_short_descr_fac3|Maître des chevaux
str_ms_t_groom_short_descr_fac4|Maître des chevaux
str_ms_t_groom_short_descr_fac5|Maître des chevaux
str_ms_t_groom_long_descr_fac1|Tout le monde a besoin de chevaux de qualité pour faire la guerre. Un homme qui connaît bien ses chevaux vaut son pesant d'or.
str_ms_t_groom_long_descr_fac2|Tout le monde a besoin de chevaux de qualité pour faire la guerre. Un homme qui connaît bien ses chevaux vaut son pesant d'or.
str_ms_t_groom_long_descr_fac3|Tout le monde a besoin de chevaux de qualité pour faire la guerre. Un homme qui connaît bien ses chevaux vaut son pesant d'or.
str_ms_t_groom_long_descr_fac4|Tout le monde a besoin de chevaux de qualité pour faire la guerre. Un homme qui connaît bien ses chevaux vaut son pesant d'or.
str_ms_t_groom_long_descr_fac5|Tout le monde a besoin de chevaux de qualité pour faire la guerre. Un homme qui connaît bien ses chevaux vaut son pesant d'or.
str_ms_t_groom_remour_descr_fac1|Le maître des chevaux a élevé des étalons splendides. Il a dit qu'il les amènerait à la foire de demain.
str_ms_t_groom_remour_descr_fac2|Une jument grincheuse a désarçonné le chef de guerre, hier. Notre nouvel écuyer lui a donc trouvé une monture plus calme. Depuis, notre commandant s'endort lorsqu'il chevauche.
str_ms_t_groom_remour_descr_fac3|Le bek a capturé un nouveau troupeau de chevaux dans les steppes. Nous n'avions jamais vu de tels chevaux en ville avant cela.
str_ms_t_groom_remour_descr_fac4|Même les reîtres viennent dans notre ville pour acheter des chevaux.
str_ms_t_groom_remour_descr_fac5|Notre maître des chevaux élève des bêtes magnifiques. Cependant, le bruit court qu'il les aurait volés aux Tartares...
str_ms_t_advizer_short_descr_fac1|Messager
str_ms_t_advizer_short_descr_fac2|Messager
str_ms_t_advizer_short_descr_fac3|Messager
str_ms_t_advizer_short_descr_fac4|Messager
str_ms_t_advizer_short_descr_fac5|Messager
str_ms_t_advizer_long_descr_fac1|Il est toujours bon d'avoir un homme de confiance sous la main pour transmettre les ordres.
str_ms_t_advizer_long_descr_fac2|Il est toujours bon d'avoir un homme de confiance sous la main pour transmettre les ordres.
str_ms_t_advizer_long_descr_fac3|Il est toujours bon d'avoir un homme de confiance sous la main pour transmettre les ordres.
str_ms_t_advizer_long_descr_fac4|Il est toujours bon d'avoir un homme de confiance sous la main pour transmettre les ordres.
str_ms_t_advizer_long_descr_fac5|Il est toujours bon d'avoir un homme de confiance sous la main pour transmettre les ordres.
str_ms_t_advizer_remour_descr_fac1|La rumeur dit qu'un messager est allé porter au bourgmestre un message important.
str_ms_t_advizer_remour_descr_fac2|On dit qu'un héraut porteur d'un message secret est arrivé en ville. Quel est ce message ? Nul ne le sait...
str_ms_t_advizer_remour_descr_fac3|Notre bey a reçu un message urgent. Ces nouveaux messagers filent comme le vent...
str_ms_t_advizer_remour_descr_fac4|Aujourd'hui, le coursier a apporté du courrier, une autre lettre des parents...
str_ms_t_advizer_remour_descr_fac5|C'est la guerre à nouveau ! Les messagers courent de ville en ville comme des fous...
str_ms_t_secret_order_short_descr_fac1|Gardien
str_ms_t_secret_order_short_descr_fac2|Gardien
str_ms_t_secret_order_short_descr_fac3|Gardien
str_ms_t_secret_order_short_descr_fac4|Gardien
str_ms_t_secret_order_short_descr_fac5|Gardien
str_ms_t_secret_order_long_descr_fac1|C'est une bonne chose qu'une ville dispose d'un homme capable de débusquer les criminels pour les traîner en justice.
str_ms_t_secret_order_long_descr_fac2|Lorsqu'un homme est capable de dénicher les voleurs et de les juger, les choses commencent à rentrer dans l'ordre.
str_ms_t_secret_order_long_descr_fac3|Un mufti est souvent plus important que le commandant de la ville, car il peut juger tous les griefs en accord avec la charia. Si la situation se présente, il sera le premier à mettre à jour la trahison.
str_ms_t_secret_order_long_descr_fac4|Un gardien s'emploie à préserver l'ordre public. Les rebelles ont plus de mal à ourdir leurs complots et les criminels n'ont pas repos.
str_ms_t_secret_order_long_descr_fac5|Les Cosaques ont le sang chaud. Ils ne peuvent s'empêcher de se quereller, où qu'ils soient. Sans un gardien en ville, il est bien difficile de maintenir l'ordre.
str_ms_t_secret_order_remour_descr_fac1|Les escrocs ont peur de leur ombre maintenant. Notre nouveau komornik est un vrai dur à cuire.
str_ms_t_secret_order_remour_descr_fac2|Si le gardien continue la chasse aux voleurs de manière aussi efficace, bientôt, la moitié de la ville n'aura plus d'oreilles.
str_ms_t_secret_order_remour_descr_fac3|Le nouveau mufti est un homme bienveillant. Il a condamné un rebelle à la pendaison alors qu'il aurait pu le faire empaler.
str_ms_t_secret_order_remour_descr_fac4|Le gardien a accusé un riche marchand de trahison. L'audience promet d'être un grand moment.
str_ms_t_secret_order_remour_descr_fac5|Hier, le gardien a jugé un voleur de chevaux. Il s'est avéré qu'il s'agissait d'un espion tartare. Il a été pendu, bien sûr...
str_ms_t_tax_supervisor_short_descr_fac1|Percepteur des impôts
str_ms_t_tax_supervisor_short_descr_fac2|Percepteur des impôts
str_ms_t_tax_supervisor_short_descr_fac3|Percepteur des impôts
str_ms_t_tax_supervisor_short_descr_fac4|Percepteur des impôts
str_ms_t_tax_supervisor_short_descr_fac5|Percepteur des impôts
str_ms_t_tax_supervisor_long_descr_fac1|Les habitants ne paieraient pas un sou, s'ils le pouvaient. C'est pourquoi vous avez besoin d'un percepteur des impôts.
str_ms_t_tax_supervisor_long_descr_fac2|Un bon intendant vaut son pesant d'or. Les habitants essaient toujours d'éviter de s'acquitter de leurs impôts, c'est pourquoi vous avez besoin des services d'un homme qui puisse gérer ce problème. 
str_ms_t_tax_supervisor_long_descr_fac3|Le commerce est florissant dans les villes. Là où le commerce fleurit, la présence d'un chef des douanes est nécessaire, faute de quoi le seigneur n'aura aucune rentrée d'argent malgré toute la prospérité ambiante.
str_ms_t_tax_supervisor_long_descr_fac4|Le droit de Magdebourg a vraiment favorisé les citoyens et ces derniers en ont oublié comment payer les impôts. Un bon responsable fiscal le leur rappellera...
str_ms_t_tax_supervisor_long_descr_fac5|Guerres, rébellions et assauts... Et le peuple oublie de payer ses impôts. Un percepteur d'impôts leur rafraîchira la mémoire...
str_ms_t_tax_supervisor_remour_descr_fac1|La noblesse de la ville est en colère. On exige d'eux qu'ils contribuent aux finances.
str_ms_t_tax_supervisor_remour_descr_fac2|Hier, l'intendant est venu aux fermes pour les impôts. Il a emporté un cochon et deux coqs.
str_ms_t_tax_supervisor_remour_descr_fac3|Au nom d'Allah ! Notre seigneur se soucie tellement de ses sujets qu'il leur a pris tout l'argent qu'ils avaient en trop. J'ai donné tout mon argent pour payer les impôts et maintenant, je n'ai même plus de quoi m'offrir des vêtements !
str_ms_t_tax_supervisor_remour_descr_fac4|Bien sûr, la pression fiscale est difficile à supporter. Mais espérons au moins que notre argent ne sera pas seulement utilisé pour des festivités et des banquets.
str_ms_t_tax_supervisor_remour_descr_fac5|Hier, les habitants se sont rassemblés pour aller donner une leçon au percepteur des impôts. Depuis qu'il est aux commandes, la ville ne connaît plus le repos.
str_ms_t_trading_master_short_descr_fac1|Marchand
str_ms_t_trading_master_short_descr_fac2|Marchand
str_ms_t_trading_master_short_descr_fac3|Marchand
str_ms_t_trading_master_short_descr_fac4|Marchand
str_ms_t_trading_master_short_descr_fac5|Marchand
str_ms_t_trading_master_long_descr_fac1|Si vous disposez d'un homme aux réserves, le Trésor recevra davantage de rentrées d'argent.
str_ms_t_trading_master_long_descr_fac2|Un marchand de confiance se révèle très utile. Il rapporte de l'argent et des informations par-dessus le marché.
str_ms_t_trading_master_long_descr_fac3|Un caravane-bashi de confiance apporte la prospérité à la ville. Il veille sur les marchands et empêche les escroqueries.
str_ms_t_trading_master_long_descr_fac4|Les achats reviennent moins chers si la ville dispose de son propre sulter. Par ailleurs, l'argent ainsi économisé permet au Trésor de grossir.
str_ms_t_trading_master_long_descr_fac5|C'est une bonne idée d'avoir son propre boutiquier au marché. Les citoyens dépensent leur argent dans sa boutique, ce qui permet de toucher des revenus supplémentaires.
str_ms_t_trading_master_remour_descr_fac1|On dit qu'il y a eu un scandale au marché aujourd'hui. Le propre grossiste de notre seigneur pensait qu'il voulait l'arnaquer.
str_ms_t_trading_master_remour_descr_fac2|Un commerçant de plus a fait faillite. Bientôt, il ne restera plus en ville que les marchands travaillant pour notre seigneur.
str_ms_t_trading_master_remour_descr_fac3|On dit que le caravane-bashi fait du trafic de hashish. Cela n'a rien d'étonnant ! Il est sous la protection de notre seigneur...
str_ms_t_trading_master_remour_descr_fac4|Le nouveau sulter a réquisitionné tous les vivres. Les gens disent qu'il est en cheville avec le gouvernement.
str_ms_t_trading_master_remour_descr_fac5|La vodka de cette nouvelle boutique coûte trois fois plus cher, mais que peut-on y faire ? Il a été interdit à toutes les autres de vendre de l'alcool.
str_ms_t_priest_short_descr_fac1|Grand Prêtre
str_ms_t_priest_short_descr_fac2|Grand Prêtre
str_ms_t_priest_short_descr_fac3|Grand Prêtre
str_ms_t_priest_short_descr_fac4|Grand Prêtre
str_ms_t_priest_short_descr_fac5|Grand Prêtre
str_ms_t_priest_long_descr_fac1|Dans les villes où siège un évêque, le seigneur jouira toujours de certains avantages.
str_ms_t_priest_long_descr_fac2|Si vous nommez votre propre abbé, il vous sera plus aisé de négocier avec le peuple.
str_ms_t_priest_long_descr_fac3|L'imam est l'autorité suprême des fidèles. S'il leur dit de payer, ils s'exécuteront sans broncher. Avoir un imam avec vous est une bonne chose.
str_ms_t_priest_long_descr_fac4|Un aumônier de garnison est très important. Il peut dire la prière et veiller au bon ordre. Il peut aussi aider pour les impôts, si besoin est.
str_ms_t_priest_long_descr_fac5|Un prêtre suffisamment éloquent peut maintenir le Trésor à flot.
str_ms_t_priest_remour_descr_fac1|On dit que le nouvel évêque apprécie énormément les chœurs. Il a réuni nos meilleures voix à la cathédrale...
str_ms_t_priest_remour_descr_fac2|L'abbé a baptisé le fils du chef de guerre hier. Dès la nuit tombée, il ne pouvait déjà presque plus dégoiser un mot.
str_ms_t_priest_remour_descr_fac3|Hier, l'imam a lu un sermon. Il a dit qu'Allah était furieux contre ceux qui ne payaient pas leurs impôts.
str_ms_t_priest_remour_descr_fac4|L'aumônier en personne a fait une rafle sur les marchés l'autre jour. Il paraît qu'il a récolté trois fois le montant des taxes habituelles.
str_ms_t_priest_remour_descr_fac5|Le prêtre a entendu la confession d'une veuve dernièrement. Il a été si enthousiaste quant à l'absolution de ses péchés qu'elle s'apprête à donner naissance à un enfant !
str_ms_t_garrison_commander_short_descr_fac1|Commandant
str_ms_t_garrison_commander_short_descr_fac2|Commandant
str_ms_t_garrison_commander_short_descr_fac3|Commandant
str_ms_t_garrison_commander_short_descr_fac4|Commandant
str_ms_t_garrison_commander_short_descr_fac5|Commandant
str_ms_t_garrison_commander_long_descr_fac1|Un commandant doit toujours veiller à l'ordre dans le château.
str_ms_t_garrison_commander_long_descr_fac2|Un commandant est une personne importante dans les villes. Il veille sur la garnison et peut rassembler une milice si le besoin s'en fait sentir.
str_ms_t_garrison_commander_long_descr_fac3|Un commandant est le commandant militaire de la ville. S'il s'acquitte correctement de son travail, vous n'aurez pas à vous soucier de la garnison.
str_ms_t_garrison_commander_long_descr_fac4|Un commandant de ville maintient la discipline dans la garnison et peut mettre une milice sur pied en cas d'attaque.
str_ms_t_garrison_commander_long_descr_fac5|Un bon commandant connaît tous les hommes de la ville comme les doigts de sa propre main. Si besoin est, il a la possibilité d'enrôler quiconque dans l'armée au moment opportun.
str_ms_t_garrison_commander_remour_descr_fac1|Le commandant a si bien discipliné ses soldats qu'ils marchent au pas pour aller faire leurs besoins.
str_ms_t_garrison_commander_remour_descr_fac2|Le commandant a éduqué ses troupes l'autre jour. Il a prélevé quelques dents et brisé deux-trois côtes.
str_ms_t_garrison_commander_remour_descr_fac3|Grâce au le nouveau commandant, chaque jour, tous nos hommes suivent un entraînement militaire. Il ne reste plus personne pour faire le travail !
